id,product_name,price_bdt,text
0,প্রাণ ভিটামিন সি,251,"ভিটামিন সি। রোগ প্রতিরোধ ক্ষমতা বাড়ায়। এই পণ্যের প্রাণ ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। প্রোডাক্টটির মূল্য 251 টাকা"
1,সিঙ্গার কলম,42,"কলম। মসৃণ লেখার জন্য। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। প্রোডাক্টটির মূল্য 42 টাকা"
2,বসুন্ধরা হলুদ গুঁড়া,214,"হলুদ গুঁড়া। খাঁটি হলুদ গুঁড়া। বসুন্ধরা ব্র্যান্ডের গুণগত মানের পণ্য। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। প্রোডাক্টটির মূল্য 214 টাকা"
3,মেঘনা হলুদ গুঁড়া,210,"হলুদ গুঁড়া। খাঁটি হলুদ গুঁড়া। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। প্রোডাক্টটির মূল্য 210 টাকা"
4,স্কয়ার কফি,340,"কফি। আরোমেটিক ইনস্ট্যান্ট কফি। এই পণ্যের স্কয়ার ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। স্টক সীমিত, তাই এখনই অর্ডার করুন। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। প্রোডাক্টটির মূল্য 340 টাকা"
5,ভিশন আটা,128,"আটা। গমের আটা, রুটি তৈরিতে উপযুক্ত। এই পণ্যের ভিশন ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। ১০০% অরিজিনাল পণ্য, নকলের বিরুদ্ধে গ্যারান্টি। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। প্রোডাক্টটির মূল্য 128 টাকা"
6,প্রাণ ব্লুটুথ ইয়ারফোন,2761,"ব্লুটুথ ইয়ারফোন। উচ্চমানের সাউন্ড কোয়ালিটি। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। প্রোডাক্টটির মূল্য 2761 টাকা"
7,প্রাণ ছাতা,196,"ছাতা। বৃষ্টি ও রোদে সুরক্ষা। এই পণ্যের প্রাণ ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। স্টক সীমিত, তাই এখনই অর্ডার করুন। প্রোডাক্টটির মূল্য 196 টাকা"
8,ইউনিলিভার ব্লুটুথ ইয়ারফোন,2357,"ব্লুটুথ ইয়ারফোন। উচ্চমানের সাউন্ড কোয়ালিটি। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। স্টক সীমিত, তাই এখনই অর্ডার করুন। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। প্রোডাক্টটির মূল্য 2357 টাকা"
9,ইউনিলিভার ক্যালকুলেটর,346,"ক্যালকুলেটর। সঠিক হিসাবের জন্য। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। প্রোডাক্টটির মূল্য 346 টাকা"
10,আবুল খায়ের থার্মোস ফ্লাস্ক,852,"থার্মোস ফ্লাস্ক। গরম ও ঠান্ডা পানীয় সংরক্ষণে। এই পণ্যের আবুল খায়ের ওয়ারেন্টি রয়েছে, ক্রয়ের পর সার্ভিস সুবিধা পাবেন। স্টক সীমিত, তাই এখনই অর্ডার করুন। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। প্রোডাক্টটির মূল্য 852 টাকা"
11,ভিশন হলুদ গুঁড়া,68,"হলুদ গুঁড়া। খাঁটি হলুদ গুঁড়া। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। প্রোডাক্টটির মূল্য 68 টাকা"
12,রহিম আফরোজ সানগ্লাস,1670,"সানগ্লাস। UV সুরক্ষিত সানগ্লাস। রহিম আফরোজ ব্র্যান্ডের গুণগত মানের পণ্য। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। প্রোডাক্টটির মূল্য 1670 টাকা"
13,মেঘনা প্রোটিন পাউডার,1385,"প্রোটিন পাউডার। মাংসপেশি গঠনে সহায়ক। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। প্রোডাক্টটির মূল্য 1385 টাকা"
14,পারটেক্স মশার কয়েল,84,"মশার কয়েল। মশা তাড়াতে কার্যকর। পারটেক্স ব্র্যান্ডের গুণগত মানের পণ্য। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। গ্রাহকদের রিভিউ অনুযায়ী এটি ৪.৫ স্টার রেটিং পেয়েছে। পরিবেশবান্ধব প্যাকেজিংয়ে পাঠানো হয়, নিরাপদ ও সুরক্ষিত। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। প্রোডাক্টটির মূল্য 84 টাকা"
15,মিনিস্টার ডাল,104,"ডাল। প্রোটিন সমৃদ্ধ ডাল। এই পণ্যে ৬ মাসের রিপ্লেসমেন্ট গ্যারান্টি রয়েছে। সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। দ্রুত ডেলিভারি পাওয়া যায়, সারা বাংলাদেশে হোম ডেলিভারি সুবিধা। প্রোডাক্টটির মূল্য 104 টাকা"
16,আবুল খায়ের কলম,36,"কলম। মসৃণ লেখার জন্য। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। বিশেষ অফার: একসাথে দুটি কিনলে অতিরিক্ত ১০% ছাড় পাবেন। এই পণ্যটি বাংলাদেশের বাজারে অত্যন্ত জনপ্রিয় এবং বহুল ব্যবহৃত। বিশেষ উপলক্ষে উপহার হিসেবে দিতে পারেন, গিফট র্যাপিং সুবিধা আছে। প্রোডাক্টটির মূল্য 36 টাকা"
17,ভিশন ঘড়ি,594,"ঘড়ি। আধুনিক ডিজাইনের হাতঘড়ি। এই পণ্যে ১ বছরের সার্ভিস ওয়ারেন্টি প্রযোজ্য। স্টক সীমিত, তাই এখনই অর্ডার করুন। ক্যাশ অন ডেলিভারি, বিকাশ, নগদ ও কার্ডে পেমেন্ট গ্রহণযোগ্য। ডিলাক্স কোয়ালিটির এই পণ্যটি দীর্ঘস্থায়ী এবং টেকসই উপাদান দিয়ে তৈরি। প্রতিটি পণ্য কঠোর মান নিয়ন্ত্রণ প্রক্রিয়ার মধ্য দিয়ে যায়। প্রোডাক্টটির মূল্য 594 টাকা"
